Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-055,13.0,16,0,0,2,0,17.9,0.34,1.9,0.15,45,153,29.4,473,66,27.7,30.5,56,39.3,35.3,152,6,3.9,29,2.23,17.4,Matches
Squad Total,,,25.8,13.0,16,0,0,2,0,17.9,0.34,1.9,0.15,45,153,29.4,423,66,28.6,,106,30.2,29.9,152,6,3.9,29,2.23,,
Opponent Total,,,27.1,13.0,21,0,0,6,1,17.4,0.43,-2.6,-0.2,71,248,28.6,365,41,49.9,40.0,110,60.0,44.1,236,18,7.6,21,1.62,13.1,
