Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
10,Brentford,7,5,1,1,15,8,7,16,2.29,13.2,8.9,4.4,0.62,6,1,0,5,6,12,-6,3,0.5,8.0,6.6,1.4,0.24
11,Bournemouth,6,4,2,0,10,4,6,14,2.33,8.9,3.2,5.7,0.95,7,1,2,4,11,19,-8,5,0.71,9.9,13.9,-3.9,-0.56
12,Tottenham,7,1,2,4,8,9,-1,5,0.71,6.0,8.7,-2.7,-0.39,6,4,1,1,13,7,6,13,2.17,5.9,8.8,-2.9,-0.48
13,Newcastle Utd,6,4,0,2,10,7,3,12,2.0,10.7,7.2,3.5,0.58,7,1,3,3,7,9,-2,6,0.86,6.2,7.3,-1.1,-0.16
14,Everton,7,3,2,2,8,9,-1,11,1.57,10.4,9.4,1.0,0.14,6,2,1,3,6,8,-2,7,1.17,5.6,9.3,-3.7,-0.62
