Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
10,Brentford,13,6,1,6,21,20,1,19,1.46,21.2,15.5,5.8,0.44,W L W L W,17064,Thiago - 11,Caoimhín Kelleher,
11,Bournemouth,13,5,4,4,21,23,-2,19,1.46,18.8,17.0,1.8,0.14,W L L D L,11172,Antoine Semenyo - 6,Đorđe Petrović,
12,Tottenham,13,5,3,5,21,16,5,18,1.38,11.9,17.5,-5.6,-0.43,W L D L L,61016,Richarlison - 5,Guglielmo Vicario,
13,Newcastle Utd,13,5,3,5,17,16,1,18,1.38,16.9,14.5,2.3,0.18,W L L W W,52183,Nick Woltemade - 5,Nick Pope,
14,Everton,13,5,3,5,14,17,-3,18,1.38,16.0,18.7,-2.7,-0.21,L D W W L,51968,Iliman Ndiaye - 4,Jordan Pickford,
