Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Caoimhín Kelleher,ie IRL,GK,27-010,13,13,1170,13.0,20,1.54,46,27,60.9,6,1,6,2,15.4,3,2,1,0,33.3,Matches
Squad Total,,,25.5,13,13,1170,13.0,20,1.54,46,27,60.9,6,1,6,2,15.4,3,2,1,0,33.3,
Opponent Total,,,26.7,13,13,1170,13.0,21,1.62,56,33,71.4,6,1,6,2,15.4,7,5,2,0,28.6,
